"old_names","new_names"
"putA","putA"
"putP","putP"
"nei","nei"
"pabB","pabB"
"bioB","bioB"
"bioA","bioA"
"radA","radA"
"argS","argS"
"foxA","foxA"
"tctD","tctD"
"mrdA","mrdA"
"rhtA","rhtA"
"ampD","ampD"
"cspJ","cspJ"
"truA","truA"
"yfcG","yfcG"
"napH","napH"
"pduO","pduO"
"amn","amn"
"mtfA","mtfA"
"iap","iap"
"STM2727","STM2727"
"rlmN","rlmN"
"pheA","pheA"
"yfiH","yfiH"
"agp","agp"
"coaE","coaE"
"kduD","kduD"
"dsbB","dsbB"
"hpt","hpt"
"yicL","yicL"
"sthB","sthB"
"yjjV","yjjV"
"yjiY","btsT"
"queG","queG"
"lldD","lldD"
"STM3863","STM3863"
"dam","dam"
"phoQ","phoQ"
"phoP","phoP"
"rplD","rplD"
"bcfF","bcfF"
"sitC","sitC"
"uraA","uraA"
"stfC","stfC"
"wcaF","wcaF"
"gmd","gmd"
"ssaC","ssaC"
"sitB","sitB"
"STM2405","STM2405"
"wcaE","wcaE"
"ampE","ampE"
"PSLT045","PSLT045"
"STM1015","STM1015"
"rseB","rseB"
"katE","katE"
"STM3121","STM3121"
"sinH","sinH"
"STM0149","STM0149"
"rfaQ","rfaQ"
"rfaG","waaG"
"wcaA","wcaA"
"orf408","orf408"
"typA","bipA"
"sitD","sitD"
"bcfA","bcfA"
"STM1269","STM1269"
"bcfE","bcfE"
"wcaB","wcaB"
"yaiC","dgcC"
"fic","fic"
"carB","carB"
"PSLT059","PSLT059"
"mutL","mutL"
"metF","metF"
"yihU","yihU"
"coaA","coaA"
"aceK","aceK"
"aceA","aceA"
"lplA","lplA"
"fadB","fadB"
"rarD","rarD"
"wecE","wecE"
"rep","rep"
"cysC","cysC"
"dctA","dctA"
"envZ","envZ"
"pyrE","pyrE"
"rpsN","rpsN"
"STM0721","STM0721"
"rpsF","rpsF"
"yoaE","yoaE"
"rnb","rnb"
"STM1620","STM1620"
"STM1614","STM1614"
"fdnG","fdnG"
"STM1555","STM1555"
"STM1547","STM1547"
"STM1536","STM1536"
"ymdC","ymdC"
"STM1131","STM1131"
"hiuH","hiuH"
"chbG","chbG"
"nadE","nadE"
"uup","uup"
"ansA","ansA"
"STM1046","STM1046"
"STM1253","STM1253"
"purB","purB"
"lpxK","lpxK"
"clpA","clpA"
"STM0900","STM0900"
"STM0855","STM0855"
"pflF","ybiW"
"citE","citE"
"fepB","fepB"
"modA","modA"
"ybdK","ybdK"
"STM0770","STM0770"
"STM0765","STM0765"
"STM0764","STM0764"
"STM0573","STM0573"
"STM0564","STM0564"
"cydA","cydA"
"yfdH","yfdH"
"arcC","ybcF"
"allR","allR"
"aefA","aefA"
"acrB","acrB"
"ybaE","ybaE"
"cyoE","cyoE"
"ispA","ispA"
"yajO","yajO"
"ribD","ribD"
"tgt","tgt"
"STM0356","STM0356"
"yfeJ","yfeJ"
"pdxK","pdxK"
"yiiZ","yiiZ"
"hilA","hilA"
"nuoJ","nuoJ"
"yejB","yejB"
"yqaA","yqaA"
"proA","proA"
"cysA","cysA"
"nlpD","nlpD"
"prmC","prmC"
"mod","mod"
"ilvI","ilvI"
"ilvD","ilvD"
"yddE","yddE"
"qor","qorA"
"dgt","dgt"
"argD","argD"
"flhA","flhA"
"flhB","flhB"
"recQ","recQ"
"murI","murI"
"yejM","lapC"
"spaS","spaS"
"spaR","spaR"
"spaO","spaO"
"erfK","ldtA"
"slyA","slyA"
"rimK","rimK"
"prc","prc"
"eptB","eptB"
"lpfE","lpfE"
"lpfD","lpfD"
"lpfC","lpfC"
"lpfA","lpfA"
"glnB","glnB"
"cspC","cspC"
"cspA","cspA"
"prfC","prfC"
"nrdI","nrdI"
"nrdH","nrdH"
"bglX","bglX"
"dnaK","dnaK"
"moeB","moeB"
"moeA","moeA"
"entD","entD"
"prpC","prpC"
"prpB","prpB"
"era","era"
"rnc","rnc"
"apaG","apaG"
"rsmA","rsmA"
"yaaJ","yaaJ"
"yaaA","yaaA"
"stfG","stfG"
"fhuD","fhuD"
"stiC","stiC"
"yadH","yadH"
"ftsZ","ftsZ"
"murG","murG"
"rsmH","rsmH"
"STM0098","STM0098"
"dut","dut"
"ybaB","ybaB"
"rpoA","rpoA"
"rpsH","rpsH"
"rpsE","rpsE"
"rpsC","rpsC"
"rpsL","rpsL"
"rpmI","rpmI"
"rpmG","rpmG"
"rplT","rplT"
"rplK","rplK"
"ndk","ndk"
"rsxA","rsxA"
"rppH","rppH"
"fis","fis"
"acpP","acpP"
"pgk","pgk"
"rluD","rluD"
"pyrG","pyrG"
"fnr","fnr"
"crp","crp"
"marR","marR"
"lrp","lrp"
"corA","corA"
"rpoC","rpoC"
"metR","metR"
"hdfR","hdfR"
"cra","cra"
"trpS","trpS"
"rhlB","rhlB"
"zipA","zipA"
"yjeM","yjeM"
"uxuA","uxuA"
"upp","upp"
"marC","marC"
"corC","corC"
"ubiE","ubiE"
"gltX","gltX"
"trpB","trpB"
"trkA","trkA"
"sapB","sapB"
"livH","livH"
"hisQ","hisQ"
"hisM","hisM"
"parE","parE"
"gyrB","gyrB"
"fadA","fadA"
"yciH","yciH"
"nanT","nanT"
"smpB","smpB"
"ssb","ssb"
"cobB","cobB"
"fliA","fliA"
"glyA","glyA"
"secE","secE"
"fabG","fabG"
"rph","rph"
"rnhB","rnhB"
"rnhA","rnhA"
"rpsG","rpsG"
"rpsT","rpsT"
"rpsP","rpsP"
"rpmD","rpmD"
"rpmB","rpmB"
"rplA","rplA"
"rplS","rplS"
"bfd","bfd"
"pyrB","pyrB"
"skp","skp"
"nuoE","nuoE"
"nuoC","nuoC"
"nuoG","nuoG"
"asrC","asrC"
"mutS","mutS"
"rplL","rplL"
"mscL","mscL"
"rplJ","rplJ"
"prmB","prmB"
"brnQ","brnQ"
"recO","recO"
"lepA","lepA"
"crr","crr"
"lepB","lepB"
"pth","pth"
"psiE","psiE"
"gpt","gpt"
"prs","prs"
"adk","adk"
"ppx","ppx"
"yiiY","yiiY"
"gppA","gpp"
"bioP","bioP"
"yigI","yigI"
"plsC","plsC"
"yceD","yceD"
"ahpC","ahpC"
"yajD","yajD"
"ubiX","ubiX"
"stpA","stpA"
"hns","hns"
"sulA","sulA"
"ihfA","ihfA"
"hupB","hupB"
"sirB2","sirB2"
"hupA","hupA"
"hisH","hisH"
"pgtC","pgtC"
"hisF","hisF"
"pldA","pldA"
"hfq","hfq"
"nirD","nirD"
"hemC","hemC"
"hemA","hemA"
"dnaB","dnaB"
"gloA","gloA"
"glnA","glnA"
"gpsA","gpsA"
"gapA","gapA"
"fliG","fliG"
"flgG","flgG"
"flgE","flgE"
"flgD","flgD"
"flgC","flgC"
"invA","invA"
"exbB","exbB"
"tufB","tufB"
"fusA","fusA"
"dsbI","dsbI"
"dnaQ","dnaQ"
"dnaJ","dnaJ"
"udp","udp"
"dapF","dapF"
"ddlA","ddlA"
"cysK","cysK"
"hemN","hemN"
"cspH","cspD"
"clpP","clpP"
"groS","groS"
"groL","groL"
"ftsP","ftsP"
"spaL","spaL"
"atpC","atpC"
"aroF","aroF"
"apaH","apaH"
"cyaA","cyaA"
"ilvE","ilvE"
"alr","alr"
"yciA","yciA"
"livG","livG"
"bcsA","bcsA"
"bcsB","bcsB"
"yfeO","yfeO"
"glk","glk"
"PSLT002","PSLT002"
"PSLT034","PSLT034"
"samB","samB"
"ssb2","ssb2"
"traR","traR"
"hisA","hisA"
"hisD","hisD"
"hisB","hisB"
"rffG","rffG"
"tdcB","tdcB"
"phnR","phnR"
"rbn","yihY"
"STM1019","STM1019"
"pyrF","pyrF"
"aroA","aroA"
"pyrC","pyrC"
"oppA","oppA"
"ushA","ushA"
"pabA","pabA"
"dadX","dadX"
"araD","araD"
"araA","araA"
"rpoB","rpoB"
"cheW","cheW"
"dnaG","dnaG"
"sodC","sodC"
"purR","purR"
"gshA","gshA"
"pckA","pck"
"cysU","cysU"
"galS","galS"
"malG","malG"
"hpf","hpf"
"uvrC","uvrC"
"glgA","glgA"
"ilvC","ilvC"
"nrdA","nrdA"
"metH","metH"
"pefC","pefC"
"tar","tar"
"gmk","gmk"
"flgB","flgB"
"fliD","fliD"
"flgF","flgF"
"gdhA","gdhA"
"pgi","pgi"
"ubiC","ubiC"
"plsB","plsB"
"dinF","dinF"
"zur","zur"
"STM4259","STM4259"
"STM4262","STM4262"
"yjcD","ghxP"
"yjcE","yjcE"
"STM4270","STM4270"
"actP","actP"
"yjcH","yjcH"
"acs","acs"
"nrfA","nrfA"
"nrfB","nrfB"
"nrfD","nrfD"
"nrfG","nrfG"
"gltP","gltP"
"fdhF","fdhF"
"adi","adi"
"dcuR","dcuR"
"dcuS","dcuS"
"STM4305","STM4305"
"STM4307","STM4307"
"yjdC","yjdC"
"dsbD","dsbD"
"blc","blc"
"frdB","frdB"
"psd","psd"
"yjeF","nnr"
"yjeE","tsaE"
"hflX","hflX"
"nsrR","nsrR"
"rlmB","rlmB"
"yjiJ","yjiJ"
"yjiN","yjiN"
"STM4518","STM4518"
"STM4519","STM4519"
"mrr","mrr"
"yjiA","yjiA"
"tsr","tsr"
"STM4537","STM4537"
"STM4538","STM4538"
"STM4539","STM4539"
"STM4540","STM4540"
"mdoB","opgB"
"dnaC","dnaC"
"yjjB","yjjB"
"yjjP","yjjP"
"yjfP","yjfP"
"STM4551","STM4551"
"ulaD","ulaD"
"ulaE","ulaE"
"ulaF","ulaF"
"rimI","rimI"
"rpsR","rpsR"
"rplI","rplI"
